areaName,longitude,latitude,unitPrice,rooms,halls,floors,houseStruct,floorArea,directions,decoration,elevaPropora,isElevator,yearProperty,totalPrice
鼓楼,114.3419056,34.79798255,26703,2,1,3,2,48.31,1,2,2,0,70,129
浦口,118.5691248,32.0590623,24211,3,2,1,1,95,0,2,2,1,70,230
浦口,118.5691248,32.0590623,22576,2,2,2,1,85.49,0,3,2,0,70,193
秦淮,118.8172207,32.00796914,33222,3,1,2,1,71.64,0,其他,2,0,70,238
秦淮,118.8172207,32.00796914,29895,1,1,1,1,40.81,0,其他,2,0,70,122
鼓楼,114.3419056,34.79798255,50526,2,1,3,1,98.96,1,3,1.5,1,70,500
栖霞,118.9637248,32.16942426,33401,3,1,1,1,113.77,0,3,1,1,70,380
建邺,118.7133418,32.01251821,34319,3,2,3,1,113.06,0,2,2,0,70,388
鼓楼,114.3419056,34.79798255,26634,2,1,1,1,48.81,0,2,2,0,70,130
鼓楼,114.3419056,34.79798255,40838,3,1,3,1,78.36,0,2,2,0,70,320
江宁,118.8354182,31.86397143,20162,2,1,1,1,79.36,0,2,1.5,1,70,160
浦口,118.5691248,32.0590623,20000,4,2,3,1,141.5,0,其他,3,1,70,283
玄武,118.8489373,32.07176566,28115,3,1,2,1,69.36,0,2,2,0,70,195
浦口,118.5691248,32.0590623,24174,2,2,2,1,87.7,0,其他,2,0,70,212
玄武,118.8489373,32.07176566,25819,2,1,2,1,65.07,0,其他,3,1,70,168
雨花台,118.7219786,31.95455211,31387,2,1,1,2,68.5,1,其他,100,1,70,215
雨花台,118.7219786,31.95455211,25626,2,2,3,1,81.95,0,2,2,0,70,210
江宁,118.8354182,31.86397143,21867,4,2,2,1,134.91,0,其他,2,0,70,295
江宁,118.8354182,31.86397143,22272,3,2,2,1,85.31,0,其他,2,1,70,190
江宁,118.8354182,31.86397143,22193,4,2,2,1,166.72,0,其他,2,0,70,370
鼓楼,114.3419056,34.79798255,31219,2,1,1,1,59.58,0,1,2,0,70,186
秦淮,118.8172207,32.00796914,35904,4,2,2,1,250.67,0,其他,1.5,1,70,900
浦口,118.5691248,32.0590623,22192,3,2,1,1,108.15,0,3,2,1,70,240
江宁,118.8354182,31.86397143,20948,1,1,2,1,67.79,1,2,8,1,70,142
栖霞,118.9637248,32.16942426,23668,4,1,3,3,84.08,0,3,2,0,70,199
浦口,118.5691248,32.0590623,23240,3,1,1,1,142,0,3,1.5,1,70,330
秦淮,118.8172207,32.00796914,56998,2,1,2,1,47.02,0,2,2,0,70,268
浦口,118.5691248,32.0590623,23792,2,2,2,1,79.86,0,3,2,0,70,190
玄武,118.8489373,32.07176566,43418,4,2,3,3,122.07,1,其他,2,0,70,530
鼓楼,114.3419056,34.79798255,51466,3,2,1,3,75.39,0,其他,33.33333333,1,70,388
玄武,118.8489373,32.07176566,30689,3,1,2,1,68.43,1,2,3,0,70,210
鼓楼,114.3419056,34.79798255,56403,3,1,1,1,121.98,0,2,4,1,70,688
建邺,118.7133418,32.01251821,34618,3,1,3,1,94.75,0,其他,2,0,70,328
鼓楼,114.3419056,34.79798255,57895,3,2,2,1,123.5,0,2,2,0,70,715
江宁,118.8354182,31.86397143,22916,3,2,3,1,102.55,0,其他,2,0,70,235
栖霞,118.9637248,32.16942426,30196,3,2,3,1,104.32,0,其他,2,1,70,315
浦口,118.5691248,32.0590623,22299,3,2,2,1,118.84,0,3,2,1,70,265
江宁,118.8354182,31.86397143,26936,3,2,2,1,126.97,0,其他,4,1,70,342
江宁,118.8354182,31.86397143,28473,2,2,3,1,89.91,0,3,3,1,70,256
雨花台,118.7219786,31.95455211,39609,3,2,3,1,133.81,1,其他,2,1,70,530
栖霞,118.9637248,32.16942426,26130,2,1,3,1,86.11,0,其他,2,0,70,225
建邺,118.7133418,32.01251821,60811,1,2,1,3,79.92,0,3,50,1,70,486
栖霞,118.9637248,32.16942426,23101,3,1,1,1,106.06,0,其他,2,0,70,245
建邺,118.7133418,32.01251821,46310,3,2,3,1,137.77,1,其他,1.5,1,70,638
江宁,118.8354182,31.86397143,34752,2,2,2,1,88.63,0,其他,2.333333333,1,70,308
玄武,118.8489373,32.07176566,36435,3,2,2,1,123.51,1,3,2,1,70,450
浦口,118.5691248,32.0590623,20170,3,2,1,1,118.99,0,1,2,1,70,240
江宁,118.8354182,31.86397143,28507,3,2,2,1,87.35,0,其他,2,0,70,249
鼓楼,114.3419056,34.79798255,70910,2,1,2,1,56.41,0,3,2,0,70,400
雨花台,118.7219786,31.95455211,35622,3,2,2,1,123.52,0,其他,1.5,1,70,440
建邺,118.7133418,32.01251821,34710,2,1,2,1,66.84,0,其他,2,0,70,232
浦口,118.5691248,32.0590623,22324,3,2,3,1,89.59,0,2,2,1,70,200
江宁,118.8354182,31.86397143,22326,2,2,2,1,73.01,1,其他,2,0,70,163
鼓楼,114.3419056,34.79798255,47349,3,2,3,1,132,0,其他,1,1,70,625
江宁,118.8354182,31.86397143,26246,3,2,1,1,100.97,1,3,1.5,1,70,265
江宁,118.8354182,31.86397143,26042,3,1,1,1,109.44,1,其他,2,0,70,285
鼓楼,114.3419056,34.79798255,30624,3,2,3,1,137.15,0,3,2,0,70,420
江宁,118.8354182,31.86397143,20220,3,2,3,2,121.17,1,2,2,0,70,245
鼓楼,114.3419056,34.79798255,36143,5,2,3,2,157.71,1,2,2,0,70,570
秦淮,118.8172207,32.00796914,34120,3,1,1,1,64.48,0,1,2,0,70,220
栖霞,118.9637248,32.16942426,19989,3,1,2,1,86.05,0,其他,2,0,70,172
秦淮,118.8172207,32.00796914,29599,2,1,2,1,47.3,0,其他,2,0,70,140
栖霞,118.9637248,32.16942426,27223,3,2,3,1,127.1,0,2,2,0,70,346
江宁,118.8354182,31.86397143,31969,3,1,2,1,100.1,1,其他,2,0,70,320
江宁,118.8354182,31.86397143,35574,3,2,3,1,88.55,0,3,2,暂无数据,70,315
江宁,118.8354182,31.86397143,19931,3,2,2,1,135.47,0,3,2,0,70,270
秦淮,118.8172207,32.00796914,37111,3,2,3,1,106.44,0,3,2,0,70,395
鼓楼,114.3419056,34.79798255,47900,2,0,3,1,54.28,0,其他,3,0,70,260
秦淮,118.8172207,32.00796914,31149,3,2,3,1,89.57,0,2,2,0,70,279
江宁,118.8354182,31.86397143,32157,3,2,1,1,82.41,0,其他,2,1,70,265
秦淮,118.8172207,32.00796914,31147,3,2,2,1,102.74,1,其他,2,0,70,320
江宁,118.8354182,31.86397143,22614,2,1,3,1,61.91,0,其他,18.5,1,70,140
浦口,118.5691248,32.0590623,17655,4,2,3,3,134.81,1,3,2,0,70,238
江宁,118.8354182,31.86397143,25517,3,2,2,1,125.41,0,其他,2,0,70,320
栖霞,118.9637248,32.16942426,32998,4,2,3,1,143.95,0,1,2,0,70,475
江宁,118.8354182,31.86397143,30988,3,2,2,1,90.36,1,其他,1.5,1,70,280
江宁,118.8354182,31.86397143,23332,3,2,3,1,113.58,1,3,2,0,70,265
