areaName,unitPrice,rooms,halls,floors,houseStruct,floorArea,directions,decoration,elevaPropora,isElevator,yearProperty,totalPrice
江宁,26999,3,2,2,错层,105.93,0,3,2,0,70,286
江宁,22485,5,2,3,暂无数据,189.46,1,3,4,1,70,426
鼓楼,27865,5,2,2,2,114.84,0,3,2,0,70,320
江宁,48640,4,2,1,3,105.88,0,3,2,1,70,515
江宁,25060,3,2,3,1,105.75,0,3,1.5,1,70,265
江宁,21624,4,1,1,1,86.48,0,3,1,1,70,187
建邺,38930,4,1,3,3,82.2,0,3,8,0,70,320
江宁,32777,2,1,2,1,60.41,1,3,2,0,70,198
栖霞,25248,2,1,1,1,62.58,0,3,4,0,70,158
江宁,23711,4,2,2,1,139.18,0,2,2,1,70,330
秦淮,30835,2,1,2,1,49.62,0,2,2,0,70,153
秦淮,30601,1,1,2,1,41.83,0,2,2,0,70,128
江宁,22548,2,2,2,1,88.7,1,3,2,暂无数据,70,200
江宁,30463,2,2,1,1,91.26,0,3,2,1,70,278
江宁,21283,3,1,2,1,78,0,3,2,暂无数据,70,166
浦口,19425,3,2,1,1,113.26,0,3,2,0,70,220
江宁,25077,2,1,2,1,65,0,2,2,0,70,163
浦口,20273,2,2,2,暂无数据,90.27,0,2,2,0,70,183
秦淮,27680,2,1,2,1,53.47,0,2,2,0,70,148
江宁,26040,3,1,3,暂无数据,99.85,0,3,2,1,70,260
秦淮,36882,1,0,2,1,35.79,0,其他,50,1,70,132
浦口,26992,2,2,1,1,83.36,1,2,3,1,70,225
秦淮,40835,1,1,2,1,44.08,0,3,4,0,70,180
建邺,55139,3,2,3,1,102.47,0,2,1,1,70,565
江宁,20855,3,2,3,1,78.64,1,3,2,1,70,164
浦口,18430,3,2,3,1,131.31,1,3,2,1,70,242
建邺,60450,3,2,2,1,115.8,0,3,3,1,70,700
江宁,28689,3,2,2,暂无数据,127.23,1,3,2,0,70,365
江宁,16932,2,1,2,1,66.15,0,2,2,0,70,112
秦淮,30322,2,1,2,1,50.13,1,2,2,0,70,152
江宁,30747,2,2,3,3,68.3,0,2,2,0,70,210
鼓楼,44529,3,2,3,1,148.22,0,3,2,1,70,660
秦淮,35493,2,1,3,1,53.25,0,2,50,1,70,189
江宁,20484,2,2,3,1,70.79,0,3,2,1,70,145
江宁,21435,3,1,1,1,86.31,0,3,6,1,70,185
浦口,27394,4,1,3,2,114.99,0,3,2,1,70,315
秦淮,27710,3,1,2,1,64.96,0,2,2,0,70,180
玄武,34073,3,1,2,1,63.1,0,3,2,0,70,215
六合,14266,2,2,2,暂无数据,89.73,1,1,3,1,70,128
浦口,27075,3,2,3,1,91.6,1,其他,2,1,70,248
江宁,25865,3,2,1,暂无数据,123.72,0,3,2,0,70,320
江宁,28795,4,2,2,1,142.39,1,2,4,1,70,410
鼓楼,45138,4,2,3,1,83.08,1,3,2,1,70,375
六合,12038,3,2,1,暂无数据,101.35,0,1,4,1,70,122
浦口,23713,3,2,2,1,88.56,0,3,2,1,70,210
玄武,30342,3,1,3,1,85.69,0,1,2,0,70,260
秦淮,36717,3,2,2,1,114.39,0,3,2,0,70,420
建邺,30441,3,1,2,1,61.76,0,2,2,0,70,188
鼓楼,29836,1,1,2,1,57.65,0,3,4.333333333,1,70,172
江宁,25057,3,2,1,1,100.97,0,3,1.5,1,70,253
浦口,21787,3,2,3,1,114.29,0,2,2,1,70,249
江宁,26877,3,2,2,1,141.39,0,3,4,1,70,380
江宁,11268,2,2,2,暂无数据,99.4,0,1,2,0,70,112
雨花台,41978,4,2,2,1,134.12,0,3,2,1,70,563
浦口,22956,2,2,2,1,91.48,0,3,2,1,70,210
浦口,25728,2,2,2,1,89.4,1,3,2,1,70,230
秦淮,35132,2,1,2,1,76.57,0,2,2,0,70,269
玄武,79473,1,1,3,1,29.57,0,3,100,暂无数据,70,235
浦口,26960,3,2,1,1,92.36,0,2,1.5,1,70,249
浦口,20466,3,2,3,1,95.28,0,2,1,1,70,195
江宁,27051,3,1,1,1,90.94,1,3,2,1,70,246
江宁,17630,2,2,1,1,73.74,0,3,9,1,70,130
浦口,23152,2,2,3,1,79.91,1,其他,2,0,70,185
江宁,24142,2,2,1,1,106.87,1,2,4,1,70,258
江宁,21988,3,2,3,1,108.7,0,3,2,0,70,239
栖霞,37740,3,2,1,1,105.99,0,3,2,1,70,400
鼓楼,34897,2,1,2,1,56.74,0,3,2,0,70,198
秦淮,36221,2,1,2,1,63.5,1,2,4,0,70,230
秦淮,54020,3,1,2,1,71.27,1,2,2,0,70,385
浦口,22328,3,2,2,1,118.69,0,3,2,1,70,265
秦淮,33388,2,1,1,1,49.42,0,3,2,0,70,165
雨花台,44794,2,1,2,1,77.02,0,3,2,1,70,345
江宁,32782,3,2,3,1,91.21,0,3,1,1,70,299
江宁,17594,3,2,3,1,84.12,1,3,6,1,70,148
秦淮,46440,3,1,2,1,116.28,0,2,2,1,70,540
鼓楼,46467,2,1,2,暂无数据,46.7,0,2,3,1,70,217
秦淮,36220,3,1,1,错层,118.17,0,3,2,0,70,428
建邺,37466,2,2,1,1,88.08,0,3,2,0,70,330
秦淮,46293,3,1,1,1,108.01,0,2,2,1,70,500
鼓楼,31466,2,2,3,1,98.52,0,2,2.666666667,1,70,310
秦淮,32320,3,1,3,1,78.28,0,2,2,0,70,253
浦口,26414,2,2,2,1,86.32,0,3,4,1,70,228
江宁,35666,4,2,2,1,123.37,0,3,1.5,1,70,440
玄武,40162,3,2,1,1,121.51,0,其他,1.5,1,70,488
秦淮,34180,2,1,1,1,52.37,0,2,3,0,70,179
鼓楼,62132,2,1,2,1,62.77,0,2,2,0,70,390
建邺,49861,3,2,3,1,86.24,0,3,2,1,70,430
江宁,20426,3,1,1,1,80.78,0,3,50,1,70,165
建邺,39326,4,2,3,1,176.73,0,3,1.5,1,70,695
玄武,28530,2,1,3,1,68.35,0,其他,3,0,70,195
江宁,20685,3,2,3,1,90.89,0,3,2,0,70,188
秦淮,56548,2,1,1,暂无数据,50.4,0,3,2,0,70,285
玄武,37136,2,2,3,2,71.36,1,3,3.5,1,70,265
浦口,24813,3,2,2,1,90.68,0,3,2,0,70,225
江宁,18858,2,1,3,1,78.22,0,3,2,0,70,147.5
秦淮,38574,2,1,3,1,51.33,0,2,2,0,70,198
秦淮,44514,2,2,1,1,96.6,0,3,2,1,70,430
江宁,29736,3,1,1,1,117.37,0,其他,1,1,70,349
玄武,23551,3,2,3,1,104.03,0,3,2,0,70,245
玄武,64517,2,1,1,1,52.7,0,2,2,0,70,340
六合,16595,2,1,3,暂无数据,76.53,0,1,4,暂无数据,70,127
